,millan_area_km2,millan_vol_km3,f19_area_km2,f19_vol_km3,area_cov,vol_diff
01-02,101399.5,19151.0,101249.3,20025.2,100.1,-4.4
03,104315.5,25302.5,105110.6,28331.2,99.2,-10.7
04,38130.0,7006.8,40888.2,8611.3,93.3,-18.6
05,84478.8,11764.6,89717.1,15692.0,94.2,-25.0
06,11017.6,3726.3,11059.7,3769.6,99.6,-1.1
07,33822.1,6994.9,33958.9,7470.4,99.6,-6.4
08,2694.2,289.0,2949.1,298.5,91.4,-3.2
09,49695.6,15501.2,51591.6,14640.2,96.3,5.9
10,1792.4,108.8,2410.1,135.8,74.4,-19.9
11,2078.8,116.2,2092.1,127.9,99.4,-9.2
12,1107.8,54.8,1307.0,63.1,84.8,-13.1
13-15,95957.5,9377.3,97605.9,7013.3,98.3,33.7
16,2039.8,72.2,2341.0,98.4,87.1,-26.6
17,29322.9,5881.6,29429.1,5339.8,99.6,10.1
18,1154.5,71.2,1161.8,73.7,99.4,-3.4
