,RGI area (km²),M22 area uncorrected (km²),M22 coverage (%),M22 volume uncorrected (km³),F19 volume (km³),M22-F19 volume difference uncorrected (%),M22 volume on subset (km³),F19 volume on subset (km³),Subset volume coverage (%),M22-F19 volume difference on subset (%),M22 volume corrected method 1 (km³),M22 volume corrected method 2 (km³),VAS parameter c,VAS parameter gamma,M22 volume corrected method 3 (km³),M22-F19 volume difference method 1 (%),M22-F19 volume difference method 2 (%),M22-F19 volume difference method 3 (%)
01-02,101249.3,101399.5,100.15,19151.0,20025.2,-4.37,18386.6,19322.8,0.96,-4.84,19122.6,19055.1,0.05,1.37,19265.3,-4.51,-4.84,-3.79
03,105110.6,104315.5,99.24,25302.5,28331.2,-10.69,25283.1,28224.8,1.0,-10.42,25495.3,25378.4,0.06,1.28,25423.0,-10.01,-10.42,-10.27
04,40888.2,38130.0,93.25,7006.8,8611.3,-18.63,5767.0,7058.3,0.82,-18.29,7513.7,7036.0,0.05,1.22,7028.0,-12.75,-18.29,-18.39
05,89717.1,84478.8,94.16,11764.6,15692.0,-25.03,6991.3,8736.2,0.59,-19.97,12494.0,12557.8,0.04,1.26,12529.8,-20.38,-19.97,-20.15
06,11059.7,11017.6,99.62,3726.3,3769.6,-1.15,3711.1,3753.4,1.0,-1.13,3740.6,3727.0,0.05,1.35,3727.7,-0.77,-1.13,-1.11
07,33958.9,33822.1,99.6,6994.9,7470.4,-6.36,6293.9,6864.5,0.9,-8.31,7023.2,6849.4,0.03,1.34,6876.8,-5.99,-8.31,-7.95
08,2949.1,2694.2,91.36,289.0,298.5,-3.2,260.9,255.4,0.9,2.16,316.3,305.0,0.07,1.26,330.5,5.96,2.16,10.72
09,51591.6,49695.6,96.33,15501.2,14640.2,5.88,14446.3,13620.6,0.93,6.06,16092.6,15527.7,0.08,1.25,15604.3,9.92,6.06,6.59
10,2410.1,1792.4,74.37,108.8,135.8,-19.88,108.0,108.9,0.99,-0.89,146.3,134.6,0.04,1.34,136.3,7.73,-0.89,0.4
11,2092.1,2078.8,99.36,116.2,127.9,-9.17,115.8,127.0,1.0,-8.8,116.9,116.7,0.03,1.33,116.5,-8.59,-8.8,-8.93
12,1307.0,1107.8,84.76,54.8,63.1,-13.1,12.5,11.8,0.23,5.93,64.7,66.8,0.04,1.23,68.4,2.52,5.93,8.4
13-15,97605.9,95957.5,98.31,9377.3,7013.3,33.71,8570.9,6345.1,0.91,35.08,9538.4,9473.5,0.05,1.33,9485.7,36.0,35.08,35.25
16,2341.0,2039.8,87.13,72.2,98.4,-26.64,56.4,66.1,0.78,-14.65,82.8,84.0,0.03,1.24,84.0,-15.81,-14.65,-14.59
17,29429.1,29322.9,99.64,5881.6,5339.8,10.15,5578.8,4937.4,0.95,12.99,5902.8,6033.5,0.05,1.23,6032.6,10.54,12.99,12.97
18,1161.8,1154.5,99.37,71.2,73.7,-3.38,70.8,72.7,0.99,-2.55,71.7,71.8,0.03,1.37,71.4,-2.76,-2.55,-3.05
19,132867.2,132867.2,100.0,35100.0,46466.1,-24.46,,,,,35100.0,35100.0,,,35100.0,-24.46,-24.46,-24.46
Total,705738.8,691874.3,98.04,140518.2,158156.6,-11.15,,,,-10.52,142821.9,141517.1,,,141880.4,-9.7,-10.52,-10.29
